id	comentario	supermercado	fecha
7	Esta habilitada la app para Barranquilla y no se puede comprar sin saber los precios?	Ara	15/04/2020
7	Y porq Bogotá y Barranquilla no? Cuidado y me cambio 	Ara	15/04/2020
7	Cómo pido domicilio en Cartagena ?	Ara	15/04/2020
7	Santa marta ?	Ara	15/04/2020
7	Solo aplica para Bogotá?? Hay alguna forma de pedir a domicilio en Cali?	Ara	15/04/2020
7	Por favor Santa Marta..... Nos serviría mucho. Gracias	Ara	15/04/2020
7	En Barranquilla Cuando?	Ara	15/04/2020
7	Veo que comentan y no hay respuesta de parte de ara	Ara	15/04/2020
7	Veo que no hay respuesta para las otras ciudades	Ara	15/04/2020
7	Sería bueno que esto lo implemente en toda Colombia ya que ara hay por todo lados y así evitamos no salir	Ara	15/04/2020
7	Barranquilla	Ara	15/04/2020
7	A soacha ya llegó está aplicación he intentado por favor nos ayudan gracias	Ara	15/04/2020
8	Señores tiendas ara lastimosamente hace cinco días fui víctima del mal trato de parte de sus empleados más concretamente de su personal de vigilancia soy personal de la salud aún así cumplí con mi día de pico y placa para realizar mi compra la tienda donde voy estaba totalmente llena como Si fuera un día normal no había control en la.cantidad de personas adentró sin embargo yo compré como normalmente lo hago tomando mis precauciones al momento de pagar en la.caja necesite más dinero ya se lo había dicho a mi esposo quien estaba afuera con el dinero le pedí el favor al vigilante que lo dejará entrar para que me diera el.dinero adentró y este empezó a decir que no que me diera la.plata afuera que el no lo iba a dejar entrar yo le dije que como se le ocurría que me diera dinero en la puerta considerando las situaciones de seguridad que el no iba a comprar sólo que lo dejará entrar a la.caja a pagar  el se tornó grosero levantando la voz delante de las más de veinte personas que tenía dentro d ELA tienda (demasiadas para un espacio tan pequeño) según el mi esposo era mucha gente si entraba a pagar pero la tienda llena NO LO ERA!  le expliqué que trabajamos en la salud y no contamos con tiempo para venir seguido no le importó que estuviéramos trasnochado y más violó toda norma de aglomeración de gente y discriminan al personal de Salud ya no mas basta trabajamos cada día para cuidar a los demás y quien nos ayuda a nosotros ! tiendas.ara escogen y eduquen y humanizen su personal! Merecemos respeto	Ara	20/04/2020
8	Yo no puedo salir d e casa y no hay como comprar en línea o tel donde hacer pedidos. Y eso q tengo uno a la vuelta de mi casa	Ara	20/04/2020
8	Buenas tardes que tiendas hay en Suramérica ITAGÜÍ gracias	Ara	20/04/2020
8	En ARA SABANALARGA el vigilante en turno nos agredió hoy verbalmente porque le preguntamos qué por qué dejaban entrar tantan gente sin tapabocas a la tienda.	Ara	20/04/2020
8	GRACIAS ASI ES Y VOY POR LOS PRODUCTOS..SE LA ATENCION MEJORARA BRAVO..	Ara	20/04/2020
8	Estoy satisfecha con la atención que prestan los los empleados son atentos y serviciales	Ara	20/04/2020
8	Necesitamos domicilios en Cartagena en villas de la Candelaria	Ara	20/04/2020
8	Soy clienta debe ustedes  hoy el ara de villa santos a las 2:00 pm cerrado y era mi día de pico cedula que pasooo???	Ara	20/04/2020
8	¿ Qué pasó?	Ara	20/04/2020
8	Necesitamos domicilios. Sería maravilloso. Cali Avenida 6a.	Ara	20/04/2020
8	Ares Ara son unos discriminadores no dejan entrar a personal de salud.son tan ignorantes que cualquier persona puede estar afectada	Ara	20/04/2020
8	Yo con todo respeto q se merecen los médicos si cuidan su familia y entran a su casa como dicen casi desnudos porque? Muchos van hacer compras después de un turno con su uniforme y sin bañarse la comunidad también necesita cuidados según las informaciones viaja el virus en ropa y hasta en cabellos q problema es q llegue a su casa y se bañe y se cambie y vuelva y salga seamos consecuentes y tolerantes todos en esta situación 	Ara	20/04/2020
8	quiero ser solidaria con Ara.	Ara	20/04/2020
8	Excelente	Ara	20/04/2020
8	Mi única queja es el horario dicen que es de 7:00 am a 6:00 pm a las 5:30 ya no dejan entrar me ha pasado en el Ara de la 15 en Barranquilla. 	Ara	20/04/2020
8	hola en buga buenos noches pregunta tiener un whaatapp numero ??: envio paraque necesita compra envio a mi gracias	Ara	20/04/2020
